product_id,product_title,rating,total_reviews,price,top_reviews
itm634644b6561df,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Navy, 256 GB)",4.3,"14,094","₹27,092","5 Great product Reviewing after one month use Nice and handy phone with 6.4 display Compact size. Camera 📷 is mind blowing 🔥🔥 Battery life is ok Display is amazing with victous glass protection which is best in market For normal use its a best phone with amazing features and customisation READ MORE Udit Joshi Certified Buyer , Haridwar Oct, 2022 23983 2520 Permalink Report Abuse || 5 Must buy! It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range. READ MORE Sandeep  Rai Certified Buyer , New Delhi Oct, 2022 8161 1058 Permalink Report Abuse"
itm628856d2794e5,"Samsung Galaxy S21 FE 5G with Snapdragon 888 (Olive, 128 GB)",4.3,"14,094","₹26,999","5 Great product Reviewing after one month use Nice and handy phone with 6.4 display Compact size. Camera 📷 is mind blowing 🔥🔥 Battery life is ok Display is amazing with victous glass protection which is best in market For normal use its a best phone with amazing features and customisation READ MORE Udit Joshi Certified Buyer , Haridwar Oct, 2022 23985 2520 Permalink Report Abuse || 5 Must buy! It is a great mobile, its camera is exactly like a flagship, can not get a better mobile in this range. READ MORE Sandeep  Rai Certified Buyer , New Delhi Oct, 2022 8162 1058 Permalink Report Abuse"
itm327a4e88fe1d0,"REDMI NOTE 14 PRO+ 5G (TITAN BLACK, 512 GB)",4.4,182,"₹31,799","5 Fabulous! Using this phone past 10 days I'm loving it. Redmi best one of the Note phone after Redmi note 7 pro. All-round good phone. Only drawback is price. READ MORE Praveen Kumar Certified Buyer , Chennai 9 months ago 208 52 Permalink Report Abuse || 5 Super! I am writing this review after 1 month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter Trek battry lasts for 2 days. Sound and speakers quality are unmatched. At this price range this is best mobile by Redmi with all AI features. I am loving it. READ MORE TAPAN  MODAK Certified Buyer , Kolkata 8 months ago 102 26 Permalink Report Abuse"
itm7fa24a152cbc9,"REDMI Note 14 Pro+ 5G (Spectre Blue, 512 GB)",4.4,182,"₹31,999","5 Fabulous! Using this phone past 10 days I'm loving it. Redmi best one of the Note phone after Redmi note 7 pro. All-round good phone. Only drawback is price. READ MORE Praveen Kumar Certified Buyer , Chennai 9 months ago 208 52 Permalink Report Abuse || 5 Super! I am writing this review after 1 month of use. Excellent work from Redmi. Camera excellent. Battery backup awesome. Even in Winter Trek battry lasts for 2 days. Sound and speakers quality are unmatched. At this price range this is best mobile by Redmi with all AI features. I am loving it. READ MORE TAPAN  MODAK Certified Buyer , Kolkata 8 months ago 102 26 Permalink Report Abuse"
